47017	28137
47023	17097
47039	11681
47037	678322
47087	11573
47109	25945
47135	7882
47145	52926
47011	103666
47121	11830
47063	63465
47075	17944
47083	8188
47119	87606
47173	19176
47071	25813
47125	192120
47043	51341
47129	21639
47061	13359
47123	45698
47079	32263
47029	35262
47033	14554
47041	19380
47095	7588
47093	452286
47101	11944
47107	52569
47117	31753
47131	30659
47143	32478
47151	21949
47167	61434
47001	75538
47045	37751
47049	17940
47053	49222
47065	354589
47069	25784
47105	51024
47139	16722
47149	298456
47159	19279
47185	26394
47189	128874
47163	156519
47171	17830
47177	40210
47179	126437
47183	33776
47005	16154
47007	14413
47013	39824
47015	13839
47031	54074
47047	39336
47067	6605
47073	56402
47091	17846
47103	33543
47111	23239
47127	6302
47147	68575
47051	41397
47009	127135
47021	39713
47019	56500
47057	22942
47055	29024
47097	26497
47099	42591
47113	97887
47115	28355
47133	21995
47137	5071
47165	175730
47181	16713
47169	8773
47187	212161
47003	46854
47027	7684
47059	68520
47035	58178
47157	937847
47175	5675
47025	31566
47077	27889
47081	24502
47085	18281
47089	52887
47141	75565
47153	14654
47155	95523
47161	13248
\.


